name,actual_price,discount_price,rating
Hp EliteBook 840 G5 Intel Core I5- 8GB RAM/256GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,"₦ 440,000","₦ 350,000",
Hp Stream 11 - Intel Celeron - 4GB RAM - 64GB SSD Windows 10 + Mouse & USB LIGHT FOR Keyboard,"₦ 110,000","₦ 100,000",
Hp EliteBook 840 G5 Intel Core I5- 8GB RAM/512GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,"₦ 550,000","₦ 360,000",4.8 out of 5(5)
"DELL LATITUDE 3180 CHROMEBOOK, 4GB RAM, 16GB SSD + 32GBFLASH","₦ 100,000","₦ 90,000",
Hp Stream 11 Pro- Intel Celeron - 4GB RAM - 64GB SSD Windows 10 Pro+ Mouse & USB LIGHT FOR Keyboard,"₦ 390,000","₦ 103,000",4.4 out of 5(13)
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Windows11 Pro+BAG,"₦ 490,000","₦ 380,000",4 out of 5(1)
Hp EliteBook 840 G5 Intel Core I5-8GB RAM/512GB SSD/Backlit Keyboard/FP Reader Wins 11 Laptop +BAG,"₦ 500,100","₦ 360,000",5 out of 5(1)
Hp PROBOOK X360 11 INTEL PENTIUM 128GB SSD 4GB RAM TOUCHSCREEN WINDOWS 11 PRO,,"₦ 145,000",
Hp ELITEBOOK X360 1030 G3 8TH GEN TOUCH CORE I5 16GB RAM/ 512GB SSD BACKLIT FP READER WIN 11 PRO,"₦ 500,000","₦ 460,000",
Hp EliteBook 840 G5 Intel Core I5-8GB RAM/256GB SSD/Backlit Keyboard/FP Reader Wins 11 Laptop +BAG,"₦ 501,000","₦ 350,000",5 out of 5(1)
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop +BAG,"₦ 580,000","₦ 375,000",5 out of 5(2)
"Hp Stream  14""   Intel Celeron, (4GB RAM, 64GB SSD), Windows 10+ 32gb Flash&USB Light",,"₦ 165,000",3.8 out of 5(4)
"Hp 15 TOUCHSCREEN INTEL CELERON 8GB RAM 1TB HDD 15.6"" HD WINS 10+ Free Bag","₦ 290,000","₦ 263,900",
Hp ProBook 11 X360- TOUCHSCREEN Intel Pentium 256GB SSD- 4GB RAM Windows10 Pro +32GB FLASH,,"₦ 165,000",
DELL Latitude 3350 Core I3 256GB SSD 8GB RAM Windows 10,,"₦ 250,000",
Lenovo THINKPAD L14 GEN 1 AMD RYZEN 5 256GBSSD 8GB W10 +FREE MOUSE,,"₦ 374,850",4 out of 5(1)
Hp Pavilion X360 Core I5-1135G7 12GB RAM 512GB SSD BACKLIT,,"₦ 660,900",
Asus Vivobook X1400MA Intel Celeron 4GB RAM 256GB SSD 14 Windows 11 Backlite Keyboard + BAG,,"₦ 259,500",
Lenovo AMD RYZEN 3 3250U 1TB HDD 8GB RAM -Wins 10+ Mouse,"₦ 278,550","₦ 260,000",4.2 out of 5(106)
DELL LATITUDE 5400 TOUCH  512GB SSD-8GB RAM Intel Core I5-KEYBOARD LIGHT Windows 11 Laptop+BAG,"₦ 600,000","₦ 320,000",
Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,,"₦ 174,000",5 out of 5(1)
"Hp Stream 14 Intel Celeron 4GB,32GB SSD Wins 10 +Bag",,"₦ 135,000",
