name,actual_price,discount_price,rating,brand,processor,ram,storage_type,storage_size
Hp EliteBook 840 G5 Intel Core I5-16GB RAM 1TB SSD Backlit Keyboard FP Reader Windows 11 Pro + BAG,550000.0,375000.0,4.6,Hp,Intel Core,16GB RAM,SSD,16GB
Hp EliteBook 840 G5 Intel Core I5-16GB RAM 512GB SSD Backlit Keyboard FP Reader Windows 11 Pro + BAG,550000.0,360000.0,4.7,Hp,Intel Core,16GB RAM,SSD,16GB
Lenovo Ideapad 14-inch - AMD Quad Core 64GB SSD - 4GB RAM Windows 10 + 32GB Flash & USB Light For Keyboard,198000.0,179999.0,4.3,Lenovo,Quad Core,4GB RAM,SSD,64GB
Hp EliteBook 840 Intel Core I7- 16GB RAM 512GB SSD Backlit Keyboard FP Reader Windows 11 Pro + BAG,695000.0,515000.0,3.8,Hp,Intel Core,16GB RAM,SSD,16GB
Hp EliteBook 840 G5 Intel Core I5-16GB RAM 512GB SSD Backlit Keyboard FP Reader Windows 11 Pro + BAG,550000.0,360000.0,4.3,Hp,Intel Core,16GB RAM,SSD,16GB
Hp EliteBook 840 G5 Intel Core I5-16GB RAM 256GB SSD Backlit Keyboard FP Reader Windows 11 Pro + BAG,550000.0,370000.0,4.7,Hp,Intel Core,16GB RAM,SSD,16GB
Hp EliteBook 840 G5 Intel Core I5-16GB RAM 512GB SSD Backlit Keyboard FP Reader Wins 11 Laptop +BAG,590000.0,360000.0,3.5,Hp,Intel Core,16GB RAM,SSD,16GB
Hp Stream 11 Intel Celeron - 64GB SSD 4GB RAM Windows 10 + Mouse & USB Light For Keyboard,125000.0,103000.0,4.1,Hp,Intel Celeron,4GB RAM,SSD,64GB
Hp EliteBook 840 G5 Intel Core I5- 16GB RAM 512GB SSD Backlit Keyboard FP Reader Windows 11 Pro +MOUSE,528000.0,385000.0,4.6,Hp,Intel Core,16GB RAM,SSD,16GB
Hp 15 Intel Celeron N4020 8GB RAM 1TB HDD Windows 10 + Mouse,265000.0,250500.0,4.8,Hp,Intel Celeron,8GB RAM,HDD,8GB
Hp EliteBook 840 Intel Core I7- 16GB RAM 1TB SSD Backlit Keyboard FP Reader Windows 11 Pro + BAG,830000.0,550000.0,4.4,Hp,Intel Core,16GB RAM,SSD,16GB
Hp ProBook 11 X360- TOUCH- 128GB SSD 4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,250000.0,190000.0,3.6,Hp,Intel CELERON QUAD CORE,4GB RAM,SSD,128GB
Hp EliteBook 840 G5 Intel Core I5- 16GB RAM 512GB SSD Backlit Keyboard FP Reader Windows 11 Pro +MOUSE,551350.0,395000.0,3.5,Hp,Intel Core,16GB RAM,SSD,16GB
Hp Stream 11 Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse & USB Light For Keyboard,170000.0,103500.0,4.3,Hp,Intel Celeron,4GB RAM,SSD,64GB
Hp EliteBook 840 G5 Intel Core I5-16GB RAM 1TB SSD Backlit Keyboard FP Reader Wins 11 Pro Laptop +BAG,600000.0,375000.0,4.5,Hp,Intel Core,16GB RAM,SSD,16GB
